Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create TraDE container,1,171,171,171,"0,00","0,000%","5,84795","1,63","3,79","285,0"
Start TraDE container,1,172,172,172,"0,00","0,000%","5,81395","0,83","1,74","146,0"
Resolve TraDE API endpoint,1,166,166,166,"0,00","0,000%","6,02410","1,88","1,44","319,0"
Create a new TraDE DDG resource,1,75,75,75,"0,00","0,000%","13,33333","14,06","4,01","1080,0"
Deploy TraDE DDG model,1,423,423,423,"0,00","0,000%","2,36407","0,22","15,32","96,0"
Create ODE container,3,72,57,89,"13,10","0,000%","5,11945","1,42","3,82","285,0"
Start ODE container,3,175,166,180,"6,60","0,000%","4,23131","0,60","1,27","146,0"
Resolve ODE page,3,3171,75,8181,"3574,96","0,000%",",31423","2,81","0,07","9143,0"
Deploy P1 process model,1,1355,1355,1355,"0,00","0,000%",",73801","0,51","9,03","704,0"
Deploy P2 process model,1,1367,1367,1367,"0,00","0,000%",",73153","0,50","9,17","704,0"
Deploy P3 process model,1,1307,1307,1307,"0,00","0,000%",",76511","0,53","7,94","704,0"
Send request to P1: Warmup,50,7403,4375,10458,"960,19","0,000%",",65664","657,70","328,80","1025651,8"
Send request to P1: Burst1,50,7158,4900,7806,"633,21","0,000%",",67956","680,66","340,28","1025651,8"
Send request to P1: Burst2,100,7241,5465,9497,"849,92","0,000%",",67854","679,63","339,77","1025651,9"
Send request to P1: Burst3,200,8364,6094,10668,"646,10","0,000%",",59436","595,32","297,62","1025652,5"
Send request to P1: Burst4,400,10220,6668,12919,"1087,69","0,000%",",48783","488,62","244,27","1025652,7"
Send request to P1: Burst5,795,14290,9199,37925,"2722,54","0,000%",",33184","332,38","166,17","1025652,9"
Stop ODE container,3,2761,2620,2959,"144,15","0,000%",",30912","0,04","0,08","146,0"
Delete ODE container,3,662,542,878,"152,84","0,000%",",41028","0,06","0,10","146,0"
Stop TraDE container,1,1158,1158,1158,"0,00","0,000%",",86356","0,12","0,21","146,0"
Delete TraDE container,1,2290,2290,2290,"0,00","0,000%",",43668","0,06","0,11","146,0"
Gesamt,1620,11483,57,37925,"3662,88","0,000%",",41679","411,03","205,49","1009845,6"
