Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create ODE container,3,101,61,156,"40,09","0,000%","4,55927","1,27","3,17","285,0"
Start ODE container,3,165,157,171,"6,18","0,000%","4,53172","0,65","1,36","146,0"
Resolve ODE page,3,3545,77,10474,"4899,31","0,000%",",28121","2,51","0,06","9143,0"
Deploy P1 process model,1,1302,1302,1302,"0,00","0,000%",",76805","0,53","10,45","705,0"
Deploy P2 process model,1,1311,1311,1311,"0,00","0,000%",",76278","0,53","10,77","705,0"
Deploy P3 process model,1,1242,1242,1242,"0,00","0,000%",",80515","0,55","8,77","705,0"
Send request to P1: Warmup,50,9925,7437,11966,"1012,91","0,000%",",48737","244,23","122,20","513148,8"
Send request to P1: Burst1,50,9085,4589,12668,"1283,01","0,000%",",52757","264,38","132,28","513148,8"
Send request to P1: Burst2,99,8748,2271,30894,"4843,78","0,000%",",44410","222,55","111,35","513148,9"
Send request to P1: Burst3,200,9912,4054,12163,"1410,37","0,000%",",49924","250,18","125,18","513149,5"
Send request to P1: Burst4,400,10406,3887,12795,"1256,44","0,000%",",47882","239,95","120,06","513149,7"
Send request to P1: Burst5,800,10702,3854,26494,"2099,86","0,000%",",46630","233,67","116,92","513149,9"
Stop ODE container,3,4324,3330,4942,"709,77","0,000%",",21575","0,03","0,05","146,0"
Delete ODE container,3,565,445,764,"141,71","0,000%",",30090","0,04","0,07","146,0"
TOTAL,1617,10237,61,30894,"2353,42","0,000%",",47471","235,25","117,71","507457,0"
