Label,Anz. der Proben,Durchschnitt,Min,Max,Std. Dev.,% Fehler,Durchsatz,KB/sek,Sent KB/sec,Durchschnittliche Bytes
Create ODE container,3,94,70,139,"31,41","0,000%","4,76190","1,33","3,31","285,0"
Start ODE container,3,172,161,193,"14,43","0,000%","4,46429","0,64","1,34","146,0"
Resolve ODE page,3,3412,421,8650,"3716,06","0,000%",",29194","2,61","0,07","9143,0"
Deploy P1 process model,1,1309,1309,1309,"0,00","0,000%",",76394","0,53","10,40","705,0"
Deploy P2 process model,1,1343,1343,1343,"0,00","0,000%",",74460","0,51","10,51","705,0"
Deploy P3 process model,1,1233,1233,1233,"0,00","0,000%",",81103","0,56","8,84","705,0"
Send request to P1: Warmup,50,16913,10548,21886,"2130,90","0,000%",",28659","287,05","143,50","1025651,8"
Send request to P1: Burst1,47,17310,4325,47852,"9704,42","0,000%",",19846","198,78","99,38","1025651,8"
Send request to P1: Burst2,99,15986,4202,33360,"4954,69","0,000%",",26958","270,01","134,99","1025651,9"
Send request to P1: Burst3,200,17086,7548,20997,"1373,39","0,000%",",29036","290,83","145,39","1025652,5"
Send request to P1: Burst4,400,17241,7209,30110,"1967,54","0,000%",",28878","289,25","144,60","1025652,7"
Send request to P1: Burst5,559,18339,7421,41273,"3185,67","0,000%",",27158","272,02","135,99","1025652,8"
Stop ODE container,3,3239,2415,4711,"1043,34","0,000%",",27612","0,04","0,07","146,0"
Delete ODE container,3,652,543,810,"114,23","0,000%",",33025","0,05","0,08","146,0"
Gesamt,1373,17359,70,47852,"3821,89","0,000%",",26910","266,01","132,99","1012229,4"
